PID,cyear,IBIRTHY,AGE,Sex,Education,SpouseAge,SpouseEducation,MeetWay,MarryLast,Cohabitation,FirstMarry,Marriage,Jiazhuang,Marriage_stf,Economy_contrb_stf,Housework_contrb_stf,Job_code,Income_month,Income,Life_stf,General_stf
230010105,2018,1993,25,0,4,31,4,4,3,1,-8,2,-8,5,5,5,-8,0,0,5,5.0
230011101,2018,1964,54,0,3,55,3,5,36,5,-8,2,-8,5,5,1,9,1500,16000,5,3.67
230013101,2018,1969,49,1,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,15,0,0,5,5.0
230013102,2018,1969,49,0,3,-8,-8,-8,-8,-8,-8,2,-8,3,1,3,15,0,0,3,2.33
230014101,2018,1964,54,0,6,-8,-8,-8,-8,-8,-8,2,-8,1,1,2,19,1300,17415,4,1.33
230014104,2018,1985,33,1,7,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,19,4000,50000,4,5.0
230015101,2018,1960,58,0,0,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,9,0,0,5,5.0
230015102,2018,1961,57,1,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,6,6000,40000,5,5.0
230015103,2018,1991,27,0,6,-8,-8,-8,-8,-8,-8,2,-8,4,3,4,8,0,0,4,3.67
230016101,2018,1968,50,0,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,9,0,28000,5,5.0
230016501,2018,1970,48,1,3,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,9,0,28000,5,5.0
230017101,2018,1962,56,0,4,-8,-8,-8,-8,-8,-8,2,-8,4,3,3,-8,0,0,3,3.33
230017102,2018,1967,51,1,4,-8,-8,-8,-8,-8,-8,2,-8,4,5,5,3,850,9000,3,4.67
230018102,2019,1974,44,1,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,5,0,0,3,5.0
230020552,2018,1978,40,0,5,41,5,5,18,5,1,2,-8,5,5,5,8,4500,84000,4,5.0
230020581,2018,1977,41,1,5,-8,-8,-8,-8,-8,-8,2,-8,4,3,4,6,5000,130000,4,3.67
230022101,2018,1967,51,1,0,-8,-8,-8,-8,-8,-8,2,-8,5,3,5,-8,0,0,5,4.33
230022102,2018,1969,49,0,0,-8,-8,-8,-8,-8,-8,2,-8,3,4,3,-8,0,0,4,3.33
230024203,2019,1954,65,1,4,56,3,2,37,5,1,2,-8,5,5,5,-8,0,0,5,5.0
